gameId;gameDuration;firstBlood;firstTower;firstInhibitor;firstBaron;firstDragon;firstRiftHerald;t1_baronKills;t1_dragonKills;t1_riftHeraldKills;t2_baronKills;t2_dragonKills;t2_riftHeraldKills;winner
3326086514;1949;2;1;1;1;1;2;2;3;0;0;1;1;1
3229566029;1851;1;1;1;0;1;1;0;2;1;0;0;0;1
3327363504;1493;2;1;1;1;2;0;1;1;0;0;1;0;1
3326856598;1758;1;1;1;1;1;0;1;2;0;0;0;0;1
3330080762;2094;2;1;1;1;1;0;1;3;0;0;1;0;1
3287435705;2059;2;2;1;1;2;0;1;1;0;0;3;0;1
3314215542;1993;1;2;1;1;1;1;1;2;1;0;0;0;1
3329224025;1334;1;1;0;0;2;1;0;0;1;0;2;0;1
3318040883;1387;2;2;2;0;2;2;0;0;0;0;2;1;2
3327786881;2681;2;2;2;2;2;0;0;2;0;1;2;0;2
3325996400;1391;2;2;2;2;2;2;0;1;0;1;1;1;2
3284613292;1671;1;2;1;0;2;1;0;0;1;0;2;0;1
3321570535;2071;1;1;0;1;2;1;1;2;1;0;1;0;1
3323144943;1942;2;2;1;0;1;0;0;1;0;0;2;0;1
3329332855;2374;2;2;1;1;2;0;1;2;0;0;2;0;2
3322311228;1717;2;1;1;0;1;0;0;2;0;0;0;0;1
3316242660;2390;2;2;2;2;2;0;0;1;0;2;4;0;2
3330057565;1994;2;1;1;1;1;1;1;2;1;0;0;0;1
3318940474;1513;1;2;2;0;2;0;0;0;0;0;2;0;2
3320637674;1898;1;2;2;2;1;1;0;3;1;1;1;0;2
3295071448;2026;1;1;1;2;1;2;0;1;0;1;2;1;2
3321629795;1962;1;2;2;2;1;0;0;1;0;1;2;0;2
3289287394;1511;1;2;2;0;2;0;0;0;0;0;2;0;2
3315917080;1756;1;1;1;1;1;1;1;3;1;0;0;0;1
3319260786;2173;2;2;2;0;1;0;0;1;0;0;0;0;2
3287686351;2211;2;2;2;0;2;1;0;0;1;0;3;0;2
3327949154;2472;2;2;1;1;2;2;1;2;0;1;3;1;2
3329435919;1342;2;2;0;0;2;0;0;0;0;0;2;0;2
3328637035;2288;1;2;2;2;2;2;0;1;0;1;3;1;2
3261234207;1899;1;1;1;1;1;1;1;2;1;0;1;0;1
3327393480;1597;2;1;2;2;1;1;0;2;1;1;0;0;2
3291817645;1649;1;1;1;2;1;0;0;2;0;1;0;0;1
3323377026;1894;1;1;1;2;1;0;0;2;0;1;1;0;1
3317736423;2473;1;2;2;2;2;0;1;2;0;1;3;0;1
3330224197;2452;1;1;2;2;1;1;0;3;1;1;1;0;2
3308980402;1478;2;2;2;0;2;0;0;0;0;0;1;0;2
3246968903;1505;2;2;2;0;2;0;0;0;0;0;2;0;2
3322361630;2112;1;1;1;0;1;0;0;2;0;0;1;0;1
3293632530;2054;2;1;1;0;1;0;0;4;0;0;0;0;1
3308987932;1349;2;1;1;0;1;1;0;2;1;0;0;0;1
3324519930;2309;2;1;2;2;1;2;0;3;0;2;1;1;2
3326242650;1329;2;2;2;0;2;2;0;0;0;0;1;1;2
3329416851;1800;2;1;1;1;1;1;1;2;1;0;1;0;1
3324363232;932;2;2;2;0;2;0;0;0;0;0;1;0;2
3322709332;2166;1;2;1;1;1;1;1;2;1;1;1;0;2
3255360088;1994;1;2;1;0;2;0;0;2;0;0;1;0;1
3327752527;2048;1;2;1;2;2;2;1;1;0;1;1;1;1
3311009322;1461;2;2;2;0;2;1;0;0;1;0;2;0;2
3321629027;2302;2;1;2;2;2;2;0;0;0;1;3;1;2
3299362032;2237;2;2;1;1;1;2;1;2;0;1;1;1;2
3325726219;2555;1;1;2;1;1;1;1;4;1;1;1;0;2
3321237376;1026;1;1;1;0;1;0;0;1;0;0;0;0;1
3321305647;1303;2;2;2;2;2;2;0;0;0;1;2;1;2
3329852632;1843;1;1;1;0;1;1;0;3;1;0;0;0;1
3329066143;1691;1;2;2;1;1;2;1;1;0;0;2;1;2
3330150647;1875;1;1;1;0;2;0;0;1;0;0;1;0;1
3330336673;1413;2;2;2;2;2;2;0;0;0;1;2;1;2
3265461788;1682;1;1;1;1;2;1;1;1;1;0;1;0;1
3323194067;1640;2;2;2;0;2;0;0;0;0;0;2;0;2
3327643001;1925;1;1;1;1;1;0;1;2;0;0;0;0;1
3325673769;1816;1;2;1;1;1;1;1;3;1;0;0;0;1
3256026885;1070;1;1;1;0;1;1;0;2;1;0;0;0;1
3311427599;1633;2;2;2;2;2;2;0;0;0;1;3;1;2
3282627547;2169;2;2;2;0;1;1;0;2;1;0;2;0;2
3258796399;197;0;0;0;0;0;0;0;0;0;0;0;0;2
3328984872;1261;1;1;0;0;1;1;0;1;1;0;0;0;1
3325843025;2493;1;1;1;0;2;0;0;3;0;0;1;0;1
3325613900;2259;2;1;1;1;2;2;2;2;0;0;3;1;1
3323302726;1697;1;2;2;2;2;0;0;0;0;1;2;0;2
3280198998;1723;2;1;1;1;1;0;1;1;0;0;0;0;1
3325567495;1643;1;2;2;2;2;2;0;0;0;1;2;1;2
3310827613;2187;1;2;2;2;2;2;0;0;0;1;4;1;2
3287517913;1590;2;1;1;1;2;1;1;1;1;0;1;0;1
3329315051;1638;1;1;1;1;1;1;1;3;1;0;0;0;1
3263401061;2147;1;2;2;2;2;0;0;0;0;1;3;0;2
3327484989;1296;2;1;0;0;2;0;0;1;0;0;1;0;1
3330473044;2634;2;2;2;1;1;0;2;3;0;0;2;0;1
3306566368;963;1;1;0;0;0;0;0;0;0;0;0;0;1
3234883677;2929;1;1;2;1;1;1;1;4;1;0;1;0;2
3272819198;2097;2;1;1;1;1;1;1;3;1;0;1;0;1
3326112788;2051;2;2;1;1;1;2;1;2;0;0;0;1;1
3329437618;1707;2;1;1;1;1;2;1;1;0;0;0;1;1
3330152268;193;1;0;0;0;0;0;0;0;0;0;0;0;1
3277742106;1934;2;2;2;2;2;2;0;0;0;1;3;1;2
3319437727;1451;1;1;0;0;2;0;0;0;0;0;1;0;1
3281365058;1257;2;2;2;0;1;0;0;1;0;0;1;0;2
3322626012;1789;2;1;1;1;2;0;1;1;0;0;2;0;1
3325976587;1311;1;1;0;0;1;0;0;2;0;0;0;0;1
3324255930;2218;1;1;2;1;1;0;1;3;0;1;2;0;2
